epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
1,2354.02,1.1644,1.46623,1.19517,0.53918,0.39784,0.41459,0.27853,1.25437,1.47471,1.24107,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00333288
2,4460.62,1.29461,1.78761,1.28334,0.53466,0.38014,0.39417,0.26364,1.26986,1.5134,1.26503,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.00660022
3,6440.13,1.3577,1.95627,1.3315,0.52421,0.37446,0.39184,0.26153,1.27025,1.52852,1.27861,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.00980156
4,8390.61,1.35628,1.94991,1.33645,0.55866,0.38286,0.40697,0.27519,1.24699,1.47903,1.26657,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.009703
5,10317.7,1.31299,1.84317,1.30715,0.56926,0.39326,0.42494,0.29054,1.22407,1.43879,1.24904,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.009604
6,12261.5,1.29077,1.78366,1.28953,0.58425,0.39903,0.43485,0.29882,1.2124,1.41253,1.23961,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.009505
7,14194.8,1.27799,1.74935,1.2798,0.57936,0.40603,0.44046,0.30366,1.20451,1.40001,1.23321,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.009406
8,16145.2,1.26885,1.72379,1.27455,0.57141,0.41258,0.44245,0.30593,1.20037,1.39386,1.22996,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.009307
9,18096.1,1.26138,1.70578,1.2678,0.57565,0.41256,0.44511,0.30843,1.19752,1.39038,1.2277,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.009208
10,20008.9,1.25612,1.69279,1.26441,0.58214,0.41404,0.44739,0.31023,1.19461,1.38767,1.22539,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.009109
11,21944.1,1.2511,1.68113,1.26062,0.58436,0.41705,0.44972,0.31194,1.1921,1.38336,1.22256,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.00901
12,23868.3,1.24751,1.67014,1.25913,0.58484,0.418,0.45206,0.31402,1.19022,1.37907,1.2207,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.008911
13,25803.8,1.24575,1.66509,1.25652,0.58081,0.42225,0.45417,0.31595,1.1876,1.37248,1.21829,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.008812
14,27736.9,1.24411,1.6565,1.2546,0.57795,0.42559,0.45662,0.31777,1.18502,1.3647,1.21581,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.008713
