epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
1,2330.47,1.16452,1.46615,1.19536,0.54708,0.39368,0.41175,0.27833,1.25694,1.48251,1.24711,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00333288
2,4404.03,1.29374,1.78786,1.28491,0.53183,0.38113,0.39604,0.2656,1.27069,1.51562,1.26982,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.00660022
3,6304.13,1.35762,1.95291,1.33228,0.54577,0.3686,0.39059,0.26208,1.26993,1.53228,1.27956,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.00980156
4,8139.72,1.35598,1.95168,1.33705,0.54866,0.38671,0.40838,0.27609,1.24612,1.48229,1.26621,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.009703
5,9960.19,1.31242,1.84192,1.30734,0.55277,0.40275,0.42535,0.29025,1.22357,1.43583,1.24793,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.009604
6,11787.2,1.29096,1.78438,1.29087,0.56617,0.40684,0.43521,0.29893,1.21157,1.40941,1.23883,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.009505
7,13609.3,1.27764,1.74877,1.28117,0.56209,0.4135,0.4401,0.30337,1.20406,1.39888,1.23308,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.009406
8,15434.5,1.26862,1.72374,1.27478,0.56306,0.41662,0.44361,0.30652,1.19844,1.39198,1.22894,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.009307
9,17267.3,1.26087,1.70623,1.26845,0.56812,0.42076,0.44609,0.30917,1.19529,1.38809,1.2266,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.009208
10,19077.5,1.25612,1.69193,1.26409,0.57485,0.4174,0.44834,0.31164,1.19206,1.38494,1.22379,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.009109
11,20890.1,1.25129,1.68279,1.26045,0.57806,0.41863,0.45052,0.31289,1.19073,1.38201,1.22171,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.00901
12,22704.4,1.24797,1.67,1.25887,0.59064,0.41559,0.45217,0.31442,1.18884,1.37602,1.21951,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.008911
13,24538,1.24717,1.66434,1.2565,0.59507,0.41614,0.45475,0.31587,1.18621,1.3694,1.2172,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.008812
14,26340.3,1.24435,1.65707,1.25368,0.59911,0.41675,0.45638,0.31736,1.18383,1.36257,1.21434,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.008713
15,28166.5,1.24224,1.65094,1.2521,0.60599,0.41521,0.45834,0.31889,1.18102,1.35391,1.21182,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.008614
