epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
1,2197.6,1.16452,1.46612,1.19552,0.5465,0.39046,0.40816,0.27493,1.25588,1.4867,1.245,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00999865,0.00333288,0.00333288
2,3938.85,1.29412,1.78746,1.28378,0.52003,0.37998,0.3914,0.26201,1.27615,1.51439,1.26972,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.0198007,0.00660022,0.00660022
3,5543.07,1.35773,1.95429,1.33175,0.5352,0.36848,0.39043,0.26293,1.26513,1.53272,1.27795,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.0294047,0.00980156,0.00980156
4,7137.7,1.35722,1.95004,1.33656,0.54781,0.3928,0.41008,0.2779,1.24932,1.48072,1.26752,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.009703
5,8728.62,1.31277,1.84301,1.30662,0.55454,0.40153,0.42532,0.29228,1.22163,1.43868,1.24681,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.009604
6,10317.4,1.29126,1.78373,1.28952,0.54705,0.41054,0.43235,0.29762,1.21043,1.41465,1.2368,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.009505
7,11923.1,1.27794,1.74901,1.28072,0.54619,0.41662,0.43813,0.30239,1.20268,1.40177,1.23056,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.009406
8,13533.6,1.26933,1.72358,1.27431,0.55499,0.41585,0.44189,0.30518,1.19986,1.39644,1.22879,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.009307
9,15139.4,1.26126,1.70604,1.26705,0.56,0.41587,0.44516,0.30729,1.19772,1.39224,1.22654,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.009208
10,16733.8,1.25591,1.69292,1.26433,0.57089,0.41551,0.44743,0.30996,1.19488,1.38729,1.22435,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.009109
